Extension Name,Description,IC,"Extensions
Included
(subsets)","Implied By
(and
transitives)","Incompatible
(and
transitives)",Ratified,"Ratification
Date",RVI20,RVA20,RVA22,RVA23,RVB23
A,Atomic instructions,unpriv,UDB Missing,,UDB MISSING,Y,2019-12,o,m,m,m,m
B,Bitmanipulation instructions,unpriv,UDB Missing,,UDB MISSING,Y,2024-04,n,n,n,n,n
C,Compressed instructions,unpriv,UDB Missing,,UDB MISSING,Y,2019-12,o,m,m,m,m
D,Double-precision floating-point,unpriv,UDB Missing,,UDB MISSING,Y,2019-12,o,m,m,m,m
F,Single-precision floating-point,unpriv,UDB Missing,D,UDB MISSING,Y,2019-12,o,m,m,m,m
H,Hypervisor,priv,UDB Missing,Sha,UDB MISSING,Y,2019-12,n,n,n,n,n
I,Base integer ISA (RV32I or RV64I),unpriv,UDB Missing,,UDB MISSING,Y,2019-06,m,m,m,m,m
M,Integer multiply and divide instructions,unpriv,UDB Missing,,UDB MISSING,Y,2019-12,o,m,m,m,m
Q,Quad-Precision Floating-Point,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
S,Supervisor mode,priv,UDB Missing,,UDB MISSING,Y,2019-06,n,m,m,m,m
Sdext,Debug,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Sdtrig,Debug triggers,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Sha,The augmented hypervisor extension,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,o,m,o
Shcounterenw,Hypervisor counter enable,priv,UDB Missing,Sha,UDB MISSING,Y,2023-08,n,n,n,n,n
Shgatpa,hgtap profile requirements,priv,UDB Missing,Sha,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Shtvala,htval profile requirements,priv,UDB Missing,Sha,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Shvsatpa,vstap translation mode requirements,priv,UDB Missing,Sha,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Shvstvala,vstval profile requirements,priv,UDB Missing,Sha,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Shvstvecd,vstvec profile requirements,priv,UDB Missing,Sha,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Sm,Machine mode,priv,UDB Missing,,UDB MISSING,Y,2019-12,n,n,n,n,n
Smaia,"Advanced Interrupt Architecture, M-mode extension",priv,UDB Missing,,UDB MISSING,Y,2023-06,n,n,n,n,n
Smcdeleg,Performance counter delegation,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Smcntrpmf,Cycle and Instret Privilege Mode Filtering,priv,UDB Missing,,UDB MISSING,Y,2023-08,n,n,n,n,n
Smdbltrp,Double trap,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Smhpm,M-mode programmable hardware performance counters,priv,UDB Missing,,UDB MISSING,Y,2019-12,n,n,n,n,n
Smmpm,Pointer masking for M-mode,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Smnpm,Pointer masking for next privilege level less than M-mode,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Smpmp,Physical Memory Protection,priv,UDB Missing,,UDB MISSING,Y,2019-12,n,n,n,n,n
Smrnmi,Resumable Non-Maskable Interrupts,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Ssaia,"Advanced Interrupt Architecture, S-mode extension",priv,UDB Missing,,UDB MISSING,Y,2023-06,n,n,n,n,n
Ssccfg,Supervisor-mode counter configuration,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Ssccptr,Cacheable and coherent main memory page table reads,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,m,m,m,m
Sscofpmf,Counter Overflow and Privilege Mode Filtering,priv,UDB Missing,,UDB MISSING,Y,2023-08,n,n,o,m,m
Sscounterenw,Supervisor counter enable,priv,UDB Missing,,UDB MISSING,Y,2023-08,n,n,m,m,m
Ssnpm,Pointer masking for next privilege level less than S-mode,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,m,o
Sspm,Pointer masking available in supervisor mode,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Ssstateen,Supervisor-mode view of the state-enable extension,priv,UDB Missing,Sha,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Ssstrict,Unimplemented reserved encodings trap and no no-conforming extensions,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Sstc,Supervisor-mode timer interrupts,priv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,o,m,m
